D:\pycharm_workstation\rl-pusher\venv\Scripts\python.exe D:\pycharm_workstation\rl-pusher\reinforcement-learning\main.py
D:\pycharm_workstation\rl-pusher\reinforcement-learning\main.py:35: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  bc_state = torch.load(
[INFO] BC weights loaded into PPO actor: net.0/net.2/mu (mu network only).
D:\pycharm_workstation\rl-pusher\reinforcement-learning\ppo_model.py:262: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\torch\csrc\utils\tensor_new.cpp:281.)
  state = torch.tensor([observation], dtype=torch.float32).to(self.actor.device)
... saving models
episode 73 score -15.5 avg score -14.8 time_steps 3700 learning_steps 1
episode 74 score -27.1 avg score -14.9 time_steps 3750 learning_steps 1
episode 75 score -10.6 avg score -14.9 time_steps 3800 learning_steps 1
episode 76 score -31.6 avg score -15.1 time_steps 3850 learning_steps 1
episode 77 score -14.6 avg score -15.1 time_steps 3900 learning_steps 1
episode 78 score -14.4 avg score -15.1 time_steps 3950 learning_steps 1
episode 79 score -21.6 avg score -15.2 time_steps 4000 learning_steps 1
episode 80 score -25.5 avg score -15.3 time_steps 4050 learning_steps 1
episode 81 score -24.3 avg score -15.4 time_steps 4100 learning_steps 2
episode 82 score -12.2 avg score -15.4 time_steps 4150 learning_steps 2
episode 83 score -3.4 avg score -15.2 time_steps 4200 learning_steps 2
episode 84 score -17.7 avg score -15.3 time_steps 4250 learning_steps 2
episode 85 score -11.6 avg score -15.2 time_steps 4300 learning_steps 2
episode 86 score -13.5 avg score -15.2 time_steps 4350 learning_steps 2
episode 87 score -13.3 avg score -15.2 time_steps 4400 learning_steps 2
episode 88 score -6.8 avg score -15.1 time_steps 4450 learning_steps 2
episode 89 score -24.1 avg score -15.2 time_steps 4500 learning_steps 2
episode 90 score -16.4 avg score -15.2 time_steps 4550 learning_steps 2
episode 91 score -14.8 avg score -15.2 time_steps 4600 learning_steps 2
episode 92 score -25.5 avg score -15.3 time_steps 4650 learning_steps 2
episode 93 score -14.4 avg score -15.3 time_steps 4700 learning_steps 2
episode 94 score -14.4 avg score -15.3 time_steps 4750 learning_steps 2
episode 95 score -13.1 avg score -15.3 time_steps 4800 learning_steps 2
episode 96 score -9.4 avg score -15.2 time_steps 4850 learning_steps 2
episode 97 score -13.4 avg score -15.2 time_steps 4900 learning_steps 2
episode 98 score -13.3 avg score -15.2 time_steps 4950 learning_steps 2
episode 99 score -9.4 avg score -15.1 time_steps 5000 learning_steps 2
episode 100 score -12.8 avg score -15.1 time_steps 5050 learning_steps 2
episode 101 score -13.7 avg score -15.2 time_steps 5100 learning_steps 2
episode 102 score -18.7 avg score -15.3 time_steps 5150 learning_steps 2
episode 103 score -13.0 avg score -15.3 time_steps 5200 learning_steps 2
episode 104 score -3.3 avg score -15.2 time_steps 5250 learning_steps 2
episode 105 score -15.4 avg score -15.3 time_steps 5300 learning_steps 2
episode 106 score -16.6 avg score -15.4 time_steps 5350 learning_steps 2
episode 107 score -9.2 avg score -15.4 time_steps 5400 learning_steps 2
episode 108 score -11.6 avg score -15.3 time_steps 5450 learning_steps 2
episode 109 score -6.0 avg score -15.2 time_steps 5500 learning_steps 2
episode 110 score -9.3 avg score -15.2 time_steps 5550 learning_steps 2
episode 111 score -13.0 avg score -15.3 time_steps 5600 learning_steps 2
episode 112 score -16.6 avg score -15.3 time_steps 5650 learning_steps 2
episode 113 score -21.4 avg score -15.2 time_steps 5700 learning_steps 2
episode 114 score -14.2 avg score -15.2 time_steps 5750 learning_steps 2
episode 115 score -22.0 avg score -15.4 time_steps 5800 learning_steps 2
episode 116 score -21.1 avg score -15.6 time_steps 5850 learning_steps 2
episode 117 score -4.7 avg score -15.5 time_steps 5900 learning_steps 2
episode 118 score -15.9 avg score -15.6 time_steps 5950 learning_steps 2
episode 119 score -7.5 avg score -15.6 time_steps 6000 learning_steps 2
episode 120 score -7.6 avg score -15.4 time_steps 6050 learning_steps 2
episode 121 score -25.1 avg score -15.5 time_steps 6100 learning_steps 2
episode 122 score -4.0 avg score -15.5 time_steps 6150 learning_steps 3
episode 123 score -10.6 avg score -15.2 time_steps 6200 learning_steps 3
episode 124 score -1.3 avg score -15.1 time_steps 6250 learning_steps 3
episode 125 score -21.3 avg score -15.2 time_steps 6300 learning_steps 3
episode 126 score -6.7 avg score -15.1 time_steps 6350 learning_steps 3
episode 127 score -15.4 avg score -15.1 time_steps 6400 learning_steps 3
episode 128 score -39.3 avg score -15.4 time_steps 6450 learning_steps 3
episode 129 score -8.3 avg score -15.4 time_steps 6500 learning_steps 3
episode 130 score -11.5 avg score -15.4 time_steps 6550 learning_steps 3
episode 131 score -11.3 avg score -15.4 time_steps 6600 learning_steps 3
episode 132 score -21.6 avg score -15.5 time_steps 6650 learning_steps 3
episode 133 score -20.7 avg score -15.6 time_steps 6700 learning_steps 3
episode 134 score -4.5 avg score -15.4 time_steps 6750 learning_steps 3
episode 135 score -4.9 avg score -15.3 time_steps 6800 learning_steps 3
episode 136 score -6.9 avg score -15.2 time_steps 6850 learning_steps 3
episode 137 score -10.3 avg score -15.2 time_steps 6900 learning_steps 3
episode 138 score -7.7 avg score -15.1 time_steps 6950 learning_steps 3
episode 139 score -20.1 avg score -14.9 time_steps 7000 learning_steps 3
episode 140 score -11.2 avg score -14.9 time_steps 7050 learning_steps 3
episode 141 score -32.0 avg score -15.0 time_steps 7100 learning_steps 3
episode 142 score -8.8 avg score -15.0 time_steps 7150 learning_steps 3
episode 143 score -17.4 avg score -15.1 time_steps 7200 learning_steps 3
episode 144 score -9.1 avg score -15.0 time_steps 7250 learning_steps 3
episode 145 score -34.4 avg score -15.0 time_steps 7300 learning_steps 3
episode 146 score -13.7 avg score -14.9 time_steps 7350 learning_steps 3
episode 147 score -8.8 avg score -14.8 time_steps 7400 learning_steps 3
episode 148 score -6.7 avg score -14.8 time_steps 7450 learning_steps 3
episode 149 score -22.3 avg score -14.9 time_steps 7500 learning_steps 3
episode 150 score -9.7 avg score -14.9 time_steps 7550 learning_steps 3
episode 151 score -9.1 avg score -14.8 time_steps 7600 learning_steps 3
episode 152 score -4.6 avg score -14.8 time_steps 7650 learning_steps 3
episode 153 score -7.8 avg score -14.8 time_steps 7700 learning_steps 3
episode 154 score -19.2 avg score -14.9 time_steps 7750 learning_steps 3
episode 155 score -13.9 avg score -14.9 time_steps 7800 learning_steps 3
episode 156 score -7.9 avg score -14.6 time_steps 7850 learning_steps 3
episode 157 score -39.5 avg score -14.9 time_steps 7900 learning_steps 3
episode 158 score -5.4 avg score -14.8 time_steps 7950 learning_steps 3
episode 159 score -44.7 avg score -14.8 time_steps 8000 learning_steps 3
episode 160 score -3.1 avg score -14.7 time_steps 8050 learning_steps 3
episode 161 score -5.7 avg score -14.4 time_steps 8100 learning_steps 3
episode 162 score -16.9 avg score -14.4 time_steps 8150 learning_steps 3
episode 163 score -34.1 avg score -14.7 time_steps 8200 learning_steps 4
episode 164 score -9.1 avg score -14.8 time_steps 8250 learning_steps 4
episode 165 score -9.4 avg score -14.6 time_steps 8300 learning_steps 4
episode 166 score -10.2 avg score -14.6 time_steps 8350 learning_steps 4
episode 167 score -7.4 avg score -14.6 time_steps 8400 learning_steps 4
episode 168 score -10.9 avg score -14.6 time_steps 8450 learning_steps 4
episode 169 score -13.8 avg score -14.7 time_steps 8500 learning_steps 4
episode 170 score -16.8 avg score -14.7 time_steps 8550 learning_steps 4
episode 171 score -5.8 avg score -14.4 time_steps 8600 learning_steps 4
episode 172 score -1.5 avg score -14.3 time_steps 8650 learning_steps 4
episode 173 score -24.3 avg score -14.4 time_steps 8700 learning_steps 4
episode 174 score -2.9 avg score -14.1 time_steps 8750 learning_steps 4
episode 175 score -11.6 avg score -14.1 time_steps 8800 learning_steps 4
episode 176 score -5.9 avg score -13.9 time_steps 8850 learning_steps 4
episode 177 score -19.2 avg score -13.9 time_steps 8900 learning_steps 4
episode 178 score -18.9 avg score -14.0 time_steps 8950 learning_steps 4
episode 179 score -6.1 avg score -13.8 time_steps 9000 learning_steps 4
episode 180 score -14.8 avg score -13.7 time_steps 9050 learning_steps 4
episode 181 score -12.6 avg score -13.6 time_steps 9100 learning_steps 4
episode 182 score -15.1 avg score -13.6 time_steps 9150 learning_steps 4
episode 183 score -10.5 avg score -13.7 time_steps 9200 learning_steps 4
episode 184 score -11.7 avg score -13.6 time_steps 9250 learning_steps 4
episode 185 score -18.9 avg score -13.7 time_steps 9300 learning_steps 4
episode 186 score -9.7 avg score -13.7 time_steps 9350 learning_steps 4
episode 187 score -6.7 avg score -13.6 time_steps 9400 learning_steps 4
episode 188 score -8.5 avg score -13.6 time_steps 9450 learning_steps 4
episode 189 score -12.5 avg score -13.5 time_steps 9500 learning_steps 4
episode 190 score -13.4 avg score -13.5 time_steps 9550 learning_steps 4
episode 191 score -5.8 avg score -13.4 time_steps 9600 learning_steps 4
episode 192 score -4.6 avg score -13.2 time_steps 9650 learning_steps 4
episode 193 score -4.8 avg score -13.1 time_steps 9700 learning_steps 4
episode 194 score -14.3 avg score -13.1 time_steps 9750 learning_steps 4
episode 195 score -17.9 avg score -13.1 time_steps 9800 learning_steps 4
episode 196 score -11.4 avg score -13.1 time_steps 9850 learning_steps 4
episode 197 score -7.2 avg score -13.1 time_steps 9900 learning_steps 4
episode 198 score -12.3 avg score -13.1 time_steps 9950 learning_steps 4
episode 199 score -9.2 avg score -13.1 time_steps 10000 learning_steps 4
